"IDENTIFICACION","SEXO","SALARIO","TIPO_ASEGURAMIENTO","SECTOR","INDICADOR_ACTIVO","INDICADOR.EXTRANJERO","INDICADOR_MOROSO","EDAD"
2585,"HOMBRE","912169","ASALARIADO","SECTOR PUBLICO","SI","NO","SI",36
2586,"HOMBRE","93363,8","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",46
2587,"HOMBRE","762828","ASALARIADO","SECTOR PUBLICO","SI","NO","SI",60
2588,"HOMBRE","847871","TRABAJADOR INDEPENDIENTE","SECTOR PRIVADO","SI","NO","NO",51
2589,"MUJER","388987,92","ASALARIADO","SECTOR PUBLICO","SI","NO","NO",25
2590,"HOMBRE","348650","ASALARIADO","SECTOR PRIVADO","SI","SI","NO",52
2591,"HOMBRE","520560","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",40
2592,"HOMBRE","369500","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",43
2593,"HOMBRE","101351,8","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",25
2594,"HOMBRE","3080767,52","ASALARIADO","SECTOR PUBLICO","SI","NO","NO",42
2595,"HOMBRE","380217","TRABAJADOR INDEPENDIENTE","SECTOR PRIVADO","SI","NO","SI",46
2596,"MUJER","285000","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",42
2597,"HOMBRE","169374","ASALARIADO","SECTOR PRIVADO","SI","SI","SI",44
2598,"HOMBRE","359250","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",24
2599,"MUJER","278030","CONVENIOS ESPECIALES DE ASEGURADOS VOLUNTARIOS","SECTOR PRIVADO","SI","NO","NO",25
2600,"HOMBRE","517494","TRABAJADOR INDEPENDIENTE","SECTOR PRIVADO","SI","NO","SI",38
2601,"HOMBRE","300366","ASALARIADO","SECTOR PRIVADO","SI","SI","NO",25
2602,"HOMBRE","297045","TRABAJADOR INDEPENDIENTE","SECTOR PRIVADO","SI","NO","NO",22
2603,"MUJER","1214327","ASALARIADO","SECTOR PUBLICO","SI","NO","NO",56
2604,"MUJER","353400","ASALARIADO","SECTOR PRIVADO","SI","SI","NO",47
2605,"HOMBRE","1614177","PENSIONADOS EN SU PROPIO SISTEMA","SECTOR PUBLICO","SI","NO","NO",56
2606,"MUJER","1488158","ASALARIADO","SECTOR PUBLICO","SI","NO","SI",41
2607,"MUJER","353418","ASEGURADO VOLUNTARIO","SECTOR PRIVADO","SI","SI","NO",56
2608,"HOMBRE","819375","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",41
2609,"MUJER","1389523","ASALARIADO","SECTOR PUBLICO","SI","NO","SI",48
2610,"HOMBRE","284326","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",28
2611,"HOMBRE","1333022,48","ASALARIADO","SECTOR PUBLICO","SI","NO","NO",40
2612,"HOMBRE","215720,6","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",30
2613,"HOMBRE","327709,14","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",21
2614,"HOMBRE","342027","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",37
2615,"MUJER","1688298","ASALARIADO","SECTOR PUBLICO","SI","NO","NO",48
2616,"HOMBRE","1000000","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",29
2617,"MUJER","280000","ASALARIADO","SECTOR PRIVADO","SI","SI","NO",25
2618,"HOMBRE","246504,81","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",19
2619,"MUJER","2128000","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",37
2620,"HOMBRE","608414,3","ASALARIADO","SECTOR PUBLICO","SI","NO","NO",38
2621,"HOMBRE","297046","TRABAJADOR INDEPENDIENTE","SECTOR PRIVADO","SI","NO","SI",33
2622,"HOMBRE","297056","TRABAJADOR INDEPENDIENTE","SECTOR PRIVADO","SI","NO","NO",76
2623,"MUJER","60000","ASALARIADO","SECTOR PRIVADO","SI","SI","NO",35
2624,"HOMBRE","512234,88","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",28
2625,"HOMBRE","842310,04","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",43
2626,"MUJER","378558","ASALARIADO","SECTOR PUBLICO","SI","NO","SI",34
2627,"HOMBRE","290000","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",38
2628,"HOMBRE","278030","CONVENIOS ESPECIALES DE TRABAJADORES INDEPENDIENTES","SECTOR PRIVADO","SI","NO","NO",43
2629,"HOMBRE","634725","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",34
2630,"HOMBRE","470974,5","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",36
2631,"HOMBRE","550590,5","ASALARIADO","SECTOR PUBLICO","SI","NO","NO",24
2632,"HOMBRE","278030","CONVENIOS ESPECIALES DE TRABAJADORES INDEPENDIENTES","SECTOR PRIVADO","SI","NO","NO",37
2633,"MUJER","278030","ASEGURADO VOLUNTARIO","SECTOR PRIVADO","SI","SI","NO",25
2634,"HOMBRE","369875","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",28
2635,"MUJER","386020","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",59
2636,"MUJER","539036","ASALARIADO","SECTOR PUBLICO","SI","NO","NO",32
2637,"HOMBRE","623700","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",35
2638,"HOMBRE","302470","ASEGURADO VOLUNTARIO","SECTOR PRIVADO","SI","NO","NO",29
2639,"MUJER","81757,47","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",22
2640,"HOMBRE","703766,13","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",45
2641,"HOMBRE","361421","TRABAJADOR INDEPENDIENTE","SECTOR PRIVADO","SI","NO","NO",51
2642,"MUJER","330722,57","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",37
2643,"HOMBRE","291514","TRABAJADOR INDEPENDIENTE","SECTOR PRIVADO","SI","NO","SI",28
2644,"MUJER","199067","ASALARIADO","SECTOR PUBLICO","SI","NO","SI",25
2645,"HOMBRE","1461505,5","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",46
2646,"HOMBRE","745392,94","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",56
2647,"HOMBRE","297046","TRABAJADOR INDEPENDIENTE","SECTOR PRIVADO","NO","NO","NO",58
2648,"MUJER","2029604","PENSIONADOS EN SU PROPIO SISTEMA","SECTOR PUBLICO","SI","NO","NO",72
2649,"MUJER","360000","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",30
2650,"HOMBRE","300018","TRABAJADOR INDEPENDIENTE","SECTOR PRIVADO","SI","NO","SI",62
2651,"MUJER","200000","ASALARIADO","SECTOR PRIVADO","SI","SI","SI",42
2652,"MUJER","799000","ASALARIADO","SECTOR PRIVADO","SI","NO","SI",24
2653,"MUJER","397504,45","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",22
2654,"MUJER","636889","TRABAJADOR INDEPENDIENTE","SECTOR PRIVADO","SI","NO","NO",50
2655,"HOMBRE","360585","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",48
2656,"HOMBRE","639605","ASALARIADO","SECTOR PUBLICO","SI","NO","NO",45
2657,"MUJER","1644679","ASALARIADO","SECTOR PUBLICO","SI","NO","SI",36
2658,"HOMBRE","421650,26","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",37
2659,"HOMBRE","678531,4","ASALARIADO","SECTOR PUBLICO","SI","NO","NO",48
2660,"HOMBRE","175367,76","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",36
2661,"MUJER","522906,95","ASALARIADO","SECTOR PRIVADO","SI","SI","NO",37
2662,"HOMBRE","699251,07","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",24
2663,"MUJER","233842,77","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",22
2664,"MUJER","297045","ASEGURADO VOLUNTARIO","SECTOR PRIVADO","SI","SI","NO",52
2665,"HOMBRE","385165","TRABAJADOR INDEPENDIENTE","SECTOR PRIVADO","SI","NO","SI",71
2666,"HOMBRE","405573,35","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",24
2667,"HOMBRE","299441","TRABAJADOR INDEPENDIENTE","SECTOR PRIVADO","SI","NO","NO",61
2668,"HOMBRE","410402","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",45
2669,"HOMBRE","516112,73","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",27
2670,"HOMBRE","356686,25","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",38
2671,"MUJER","1794936","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",29
2672,"HOMBRE","68371,65","ASALARIADO","SECTOR PUBLICO","SI","NO","NO",42
2673,"HOMBRE","186718","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",31
2674,"HOMBRE","399603,16","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",43
2675,"MUJER","354822,98","PENSIONADOS EN SU PROPIO SISTEMA","SECTOR PUBLICO","SI","NO","NO",75
2676,"MUJER","425829,6","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",19
2677,"HOMBRE","452229","TRABAJADOR INDEPENDIENTE","SECTOR PRIVADO","SI","NO","NO",34
2678,"HOMBRE","315605","ASEGURADO VOLUNTARIO","SECTOR PRIVADO","SI","NO","NO",58
2679,"MUJER","749235,3","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",40
2680,"HOMBRE","366495,32","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",22
2681,"HOMBRE","80000","ASALARIADO","SECTOR PRIVADO","SI","SI","NO",21
2682,"HOMBRE","316964,69","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",20
2683,"MUJER","370500","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",28
2684,"HOMBRE","1081709,6","ASALARIADO","SECTOR PUBLICO","SI","NO","NO",59
2685,"MUJER","698426,7","ASALARIADO","SECTOR PUBLICO","SI","NO","NO",35
2686,"HOMBRE","431290","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",60
2687,"HOMBRE","297045","ASEGURADO VOLUNTARIO","SECTOR PRIVADO","SI","NO","NO",51
2688,"HOMBRE","610312","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",33
2689,"MUJER","550022","ASALARIADO","SECTOR PRIVADO","SI","SI","NO",29
2690,"MUJER","1264065","ASALARIADO","SECTOR PUBLICO","SI","NO","NO",49
2691,"MUJER","911982,5","ASALARIADO","SECTOR PUBLICO","SI","NO","NO",29
2692,"HOMBRE","40800","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",25
2693,"HOMBRE","278030","CONVENIOS ESPECIALES DE TRABAJADORES INDEPENDIENTES","SECTOR PRIVADO","SI","NO","NO",35
2694,"MUJER","439474","ASALARIADO","SECTOR PUBLICO","SI","NO","SI",57
2695,"HOMBRE","3500000","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",60
2696,"HOMBRE","517500","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",31
2697,"MUJER","376000","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",32
2698,"HOMBRE","297230","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",24
2699,"MUJER","300000","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",32
2700,"MUJER","430103,9","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",22
2701,"HOMBRE","858401","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",32
2702,"MUJER","1452304","PENSIONADOS EN SU PROPIO SISTEMA","SECTOR PUBLICO","SI","NO","NO",60
2703,"MUJER","358838","ASALARIADO","SECTOR PUBLICO","SI","NO","NO",38
2704,"HOMBRE","356903,47","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",49
2705,"HOMBRE","300018","TRABAJADOR INDEPENDIENTE","SECTOR PRIVADO","SI","NO","NO",39
2706,"MUJER","1061946,5","ASALARIADO","SECTOR PUBLICO","SI","NO","NO",29
2707,"HOMBRE","795975,32","ASALARIADO","SECTOR PUBLICO","SI","NO","NO",38
2708,"HOMBRE","385200,2","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",27
2709,"HOMBRE","507944","TRABAJADOR INDEPENDIENTE","SECTOR PRIVADO","SI","SI","SI",54
2710,"HOMBRE","1196608","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",33
2711,"HOMBRE","388315,75","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",59
2712,"MUJER","2109522,85","ASALARIADO","SECTOR PUBLICO","SI","NO","NO",45
2713,"HOMBRE","297046","ASEGURADO VOLUNTARIO","SECTOR PRIVADO","SI","SI","SI",46
2714,"HOMBRE","389232","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",39
2715,"MUJER","746903","ASALARIADO","SECTOR PUBLICO","SI","NO","SI",31
2716,"HOMBRE","362250","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",44
2717,"HOMBRE","278030","CONVENIOS ESPECIALES DE TRABAJADORES INDEPENDIENTES","SECTOR PRIVADO","SI","NO","NO",30
2718,"MUJER","250000","ASALARIADO","SECTOR PRIVADO","SI","SI","SI",54
2719,"MUJER","297046","ASEGURADO VOLUNTARIO","SECTOR PRIVADO","SI","SI","NO",44
2720,"MUJER","120000","ASALARIADO","SECTOR PRIVADO","SI","NO","SI",55
2721,"MUJER","315617","ASEGURADO VOLUNTARIO","SECTOR PRIVADO","SI","NO","NO",65
2722,"HOMBRE","1034183,15","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",28
2723,"HOMBRE","484022,45","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",42
2724,"MUJER","200000","ASALARIADO","SECTOR PRIVADO","SI","SI","NO",53
2725,"HOMBRE","594092","TRABAJADOR INDEPENDIENTE","SECTOR PRIVADO","SI","NO","SI",67
2726,"HOMBRE","501950,24","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",46
2727,"HOMBRE","297046","ASEGURADO VOLUNTARIO","SECTOR PRIVADO","SI","NO","NO",46
2728,"HOMBRE","360061","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",32
2729,"MUJER","350325","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",27
2730,"HOMBRE","687802,61","ASALARIADO","SECTOR PRIVADO","SI","SI","NO",47
2731,"MUJER","300000","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",43
2732,"HOMBRE","473527,9","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",29
2733,"HOMBRE","404467","ASEGURADO VOLUNTARIO","SECTOR PRIVADO","SI","NO","NO",62
2734,"MUJER","681958,86","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",28
2735,"HOMBRE","1109112","ASALARIADO","SECTOR PUBLICO","SI","NO","NO",32
2736,"HOMBRE","356025","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",22
2737,"HOMBRE","513238,95","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",34
2738,"HOMBRE","278030","CONVENIOS ESPECIALES DE ASEGURADOS VOLUNTARIOS","SECTOR PRIVADO","SI","SI","NO",27
2739,"MUJER","141510,17","PENSIONADOS EN SU PROPIO SISTEMA","SECTOR PUBLICO","SI","NO","NO",85
2740,"MUJER","135000","ASALARIADO","SECTOR PRIVADO","SI","NO","SI",37
2741,"HOMBRE","6787104,52","ASALARIADO","SECTOR PUBLICO","SI","NO","NO",56
2742,"MUJER","777494,45","ASALARIADO","SECTOR PUBLICO","SI","NO","NO",32
2743,"HOMBRE","550491","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",45
2744,"MUJER","298018","ASEGURADO VOLUNTARIO","SECTOR PRIVADO","SI","SI","NO",51
2745,"HOMBRE","802400","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",39
2746,"MUJER","270000","ASALARIADO","SECTOR PRIVADO","SI","SI","NO",28
2747,"HOMBRE","296700","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",31
2748,"MUJER","1332247","ASALARIADO","SECTOR PUBLICO","SI","NO","NO",33
2749,"MUJER","327400","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",35
2750,"HOMBRE","454803","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",26
2751,"MUJER","297045","TRABAJADOR INDEPENDIENTE","SECTOR PRIVADO","SI","NO","NO",53
2752,"HOMBRE","310544","TRABAJADOR INDEPENDIENTE","SECTOR PRIVADO","SI","NO","SI",42
2753,"MUJER","1402150,95","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",32
2754,"MUJER","812430","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",27
2755,"HOMBRE","610243,4","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",52
2756,"HOMBRE","129133,33","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",35
2757,"HOMBRE","1119534","TRABAJADOR INDEPENDIENTE","SECTOR PRIVADO","SI","SI","SI",53
2758,"MUJER","302010","TRABAJADOR INDEPENDIENTE","SECTOR PRIVADO","SI","NO","NO",24
2759,"MUJER","325000","ASALARIADO","SECTOR PRIVADO","SI","SI","NO",24
2760,"HOMBRE","278030","CONVENIOS ESPECIALES DE TRABAJADORES INDEPENDIENTES","SECTOR PRIVADO","SI","NO","NO",24
2761,"MUJER","359544,27","CONVENIOS ESPECIALES DE ASEGURADOS VOLUNTARIOS","SECTOR PRIVADO","SI","SI","NO",66
2762,"HOMBRE","680000","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",33
2763,"MUJER","610000","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",30
2764,"HOMBRE","477307,36","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",63
2765,"HOMBRE","385938","ASALARIADO","SECTOR PRIVADO","SI","NO","SI",51
2766,"MUJER","450000","ASALARIADO","SECTOR PRIVADO","SI","SI","NO",29
2767,"HOMBRE","359544,27","CONVENIOS ESPECIALES DE ASEGURADOS VOLUNTARIOS","SECTOR PRIVADO","SI","SI","NO",59
2768,"HOMBRE","759569,6","ASALARIADO","SECTOR PUBLICO","SI","NO","NO",34
2769,"MUJER","894532","ASALARIADO","SECTOR PUBLICO","SI","NO","SI",44
2770,"HOMBRE","117186,67","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",25
2771,"MUJER","1314609","ASALARIADO","SECTOR PUBLICO","SI","NO","NO",48
2772,"MUJER","298925","TRABAJADOR INDEPENDIENTE","SECTOR PRIVADO","SI","SI","SI",28
2773,"HOMBRE","410982","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",30
2774,"MUJER","1511127","ASALARIADO","SECTOR PUBLICO","SI","NO","NO",36
2775,"MUJER","361080","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",29
2776,"HOMBRE","2676486,65","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",26
2777,"MUJER","298482","TRABAJADOR INDEPENDIENTE","SECTOR PRIVADO","SI","NO","NO",47
2778,"HOMBRE","1603638,49","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",43
2779,"HOMBRE","757822,41","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",31
2780,"MUJER","298000","TRABAJADOR INDEPENDIENTE","SECTOR PRIVADO","SI","NO","NO",23
2781,"MUJER","300018","TRABAJADOR INDEPENDIENTE","SECTOR PRIVADO","SI","SI","SI",49
2782,"HOMBRE","651569,96","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",33
2783,"MUJER","359544,27","CONVENIOS ESPECIALES DE ASEGURADOS VOLUNTARIOS","SECTOR PRIVADO","SI","SI","NO",47
2784,"MUJER","554128","ASALARIADO","SECTOR PUBLICO","SI","NO","NO",26
2785,"HOMBRE","493352,64","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",25
2786,"HOMBRE","264600","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",30
2787,"MUJER","681931,83","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",34
2788,"MUJER","278030","CONVENIOS ESPECIALES DE TRABAJADORES INDEPENDIENTES","SECTOR PRIVADO","SI","NO","NO",25
2789,"MUJER","1725833","ASALARIADO","SECTOR PUBLICO","SI","NO","NO",54
2790,"HOMBRE","1213114,5","ASALARIADO","SECTOR PUBLICO","SI","NO","NO",39
2791,"MUJER","335772","ASALARIADO","SECTOR PUBLICO","SI","NO","SI",51
2792,"MUJER","497847,64","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",45
2793,"HOMBRE","480488","ASALARIADO","SECTOR PRIVADO","SI","SI","NO",23
2794,"HOMBRE","359544,27","CONVENIOS ESPECIALES DE ASEGURADOS VOLUNTARIOS","SECTOR PRIVADO","SI","SI","NO",61
2795,"MUJER","602634","ASALARIADO","SECTOR PUBLICO","SI","NO","NO",35
2796,"MUJER","297046","TRABAJADOR INDEPENDIENTE","SECTOR PRIVADO","SI","NO","NO",43
2797,"MUJER","1840146,75","ASALARIADO","SECTOR PUBLICO","SI","NO","NO",49
2798,"MUJER","297046","ASEGURADO VOLUNTARIO","SECTOR PRIVADO","SI","NO","NO",62
2799,"MUJER","358000","ASALARIADO","SECTOR PRIVADO","SI","SI","NO",29
2800,"HOMBRE","436134","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",23
2801,"HOMBRE","375277","ASALARIADO","SECTOR PUBLICO","SI","NO","SI",54
2802,"HOMBRE","1037264","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",36
2803,"HOMBRE","70000","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",47
2804,"HOMBRE","383265,76","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",56
2805,"HOMBRE","1302821","ASALARIADO","SECTOR PUBLICO","SI","NO","NO",42
2806,"MUJER","385886","PENSIONADOS EN SU PROPIO SISTEMA","SECTOR PUBLICO","SI","NO","NO",73
2807,"HOMBRE","297046","TRABAJADOR INDEPENDIENTE","SECTOR PRIVADO","SI","NO","SI",39
2808,"HOMBRE","500936","ASALARIADO","SECTOR PUBLICO","SI","NO","NO",32
2809,"MUJER","860036,5","ASALARIADO","SECTOR PUBLICO","SI","NO","NO",49
2810,"HOMBRE","273450,7","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",18
2811,"MUJER","320000","ASALARIADO","SECTOR PRIVADO","SI","NO","SI",61
2812,"HOMBRE","297046","ASEGURADO VOLUNTARIO","SECTOR PRIVADO","SI","NO","NO",55
2813,"MUJER","2083266,59","ASALARIADO","SECTOR PUBLICO","SI","NO","NO",43
2814,"HOMBRE","349790","ASALARIADO","SECTOR PRIVADO","SI","SI","NO",20
2815,"MUJER","682608","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",29
2816,"HOMBRE","1203600","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",41
2817,"MUJER","728114,38","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",46
2818,"HOMBRE","568333,33","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",20
2819,"MUJER","340654","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",45
2820,"MUJER","188120,81","PENSIONADOS EN SU PROPIO SISTEMA","SECTOR PUBLICO","SI","NO","NO",75
2821,"HOMBRE","639148","TRABAJADOR INDEPENDIENTE","SECTOR PRIVADO","SI","NO","SI",67
2822,"HOMBRE","768846,82","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",32
2823,"MUJER","1292336","ASALARIADO","SECTOR PUBLICO","SI","NO","NO",36
2824,"HOMBRE","813799","ASALARIADO","SECTOR PUBLICO","SI","NO","NO",43
2825,"HOMBRE","1507112","ASALARIADO","SECTOR PUBLICO","SI","NO","SI",50
2826,"HOMBRE","1158776,94","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",22
2827,"HOMBRE","504705,31","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",35
2828,"HOMBRE","714074","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",37
2829,"HOMBRE","283181,96","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",50
2830,"HOMBRE","528970,51","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",59
2831,"HOMBRE","310124","TRABAJADOR INDEPENDIENTE","SECTOR PRIVADO","SI","NO","SI",29
2832,"MUJER","371911","ASALARIADO","SECTOR PUBLICO","SI","NO","NO",33
2833,"HOMBRE","220575","ASALARIADO","SECTOR PRIVADO","SI","SI","NO",48
2834,"HOMBRE","233662","ASALARIADO","SECTOR PRIVADO","SI","NO","SI",32
2835,"HOMBRE","448447","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",41
2836,"MUJER","847616","ASALARIADO","SECTOR PUBLICO","SI","NO","NO",31
2837,"HOMBRE","300056","PENSIONADOS EN SU PROPIO SISTEMA","SECTOR PUBLICO","SI","NO","NO",61
2838,"MUJER","278030","CONVENIOS ESPECIALES DE TRABAJADORES INDEPENDIENTES","SECTOR PRIVADO","SI","NO","NO",23
2839,"HOMBRE","956230","ASALARIADO","SECTOR PUBLICO","SI","NO","SI",60
2840,"MUJER","410738,26","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",30
2841,"HOMBRE","451015","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",28
2842,"HOMBRE","370000","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",45
2843,"MUJER","297046","ASEGURADO VOLUNTARIO","SECTOR PRIVADO","NO","NO","SI",19
2844,"HOMBRE","519483,5","ASALARIADO","SECTOR PRIVADO","SI","SI","SI",37
2845,"MUJER","2216750,36","ASALARIADO","SECTOR PRIVADO","SI","SI","NO",30
2846,"HOMBRE","241999","ASALARIADO","SECTOR PRIVADO","SI","NO","SI",45
2847,"MUJER","300018","ASEGURADO VOLUNTARIO","SECTOR PRIVADO","SI","NO","NO",59
2848,"HOMBRE","309288","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",39
2849,"MUJER","250750","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",31
2850,"MUJER","155636","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",61
2851,"HOMBRE","617586","ASALARIADO","SECTOR PRIVADO","SI","NO","SI",36
2852,"HOMBRE","450886","TRABAJADOR INDEPENDIENTE","SECTOR PRIVADO","SI","NO","NO",49
2853,"MUJER","297046","ASEGURADO VOLUNTARIO","SECTOR PRIVADO","SI","NO","NO",61
2854,"HOMBRE","446000","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",28
2855,"HOMBRE","509509","TRABAJADOR INDEPENDIENTE","SECTOR PRIVADO","SI","NO","SI",37
2856,"HOMBRE","799571,5","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",22
2857,"HOMBRE","297046","ASEGURADO VOLUNTARIO","SECTOR PRIVADO","SI","SI","SI",57
2858,"MUJER","130000","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",51
2859,"HOMBRE","429740","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",27
2860,"HOMBRE","356858","TRABAJADOR INDEPENDIENTE","SECTOR PRIVADO","SI","SI","SI",25
2861,"MUJER","375000","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",42
2862,"MUJER","384500","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",33
2863,"HOMBRE","368127","TRABAJADOR INDEPENDIENTE","SECTOR PRIVADO","SI","NO","SI",35
2864,"HOMBRE","258000","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",50
2865,"HOMBRE","2396657,2","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",34
2866,"MUJER","297046","ASEGURADO VOLUNTARIO","SECTOR PRIVADO","SI","NO","NO",29
2867,"HOMBRE","335930","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",49
2868,"MUJER","278030","CONVENIOS ESPECIALES DE TRABAJADORES INDEPENDIENTES","SECTOR PRIVADO","SI","NO","NO",40
2869,"HOMBRE","1739925","ASALARIADO","SECTOR PRIVADO","SI","NO","NO",43
